skuId,productId,brandName,productName,listPrice,salePrice,rating,reviews,imageUrl,url,isNew,isLimitedEdition,isSephoraExclusive
2845725,P510431,Westman Atelier,Lip Suede Hydrating Matte Lipstick with Hyaluronic Acid,50.0,,4.3747,467,https://www.sephora.com/productimages/sku/s2845725-main-zoom.jpg?imwidth=270&pb=clean-at-sephora,https://www.sephora.com/product/westman-atelier-lip-suede-hydrating-matte-lipstick-P510431?skuId=2845725,False,False,False
2793362,P512645,Laura Mercier,Caviar Smoothing Matte Lipstick,45.0,,4.6134,269,https://www.sephora.com/productimages/sku/s2793362-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/laura-mercier-caviar-smoothing-matte-lipstick-P512645?skuId=2793362,False,False,False
2797504,P512254,MAKE UP FOR EVER,Rouge Artist For Ever Satin & Matte Lipstick,29.0,,4.7085,271,https://www.sephora.com/productimages/sku/s2797504-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/make-up-for-ever-rouge-artist-forever-lipstick-P512254?skuId=2797504,False,False,False
2738946,P510553,Hourglass,Unlocked™ Soft Matte Lipstick,38.0,,4.6502,203,https://www.sephora.com/productimages/sku/s2738946-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/hourglass-unlocked-tm-soft-matte-lipstick-P510553?skuId=2738946,False,False,False
2699080,P507664,Kulfi,Heirloom Satin Lipstick,30.0,,4.8182,297,https://www.sephora.com/productimages/sku/s2699080-main-zoom.jpg?imwidth=270&pb=clean-at-sephora,https://www.sephora.com/product/heirloom-satin-lipstick-P507664?skuId=2699080,False,False,False
2655868,P480303,Fenty Beauty by Rihanna,Fenty Icon The Fill Semi-Matte Refillable Lipstick,,,3.9786,560,https://www.sephora.com/productimages/sku/s2655868-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/fenty-beauty-rihanna-icon-refillable-semi-matte-lipstick-P480303?skuId=2655868,False,False,False
2882934,P516909,VIOLETTE_FR,LIP NECTAR Hydrating Lip Stain,29.0,,4.5392,536,https://www.sephora.com/productimages/sku/s2882934-main-zoom.jpg?imwidth=270&pb=allure-2025-best-of-beauty-award-winner,https://www.sephora.com/product/violette-fr-lip-nectar-hydrating-lip-stain-P516909?skuId=2882934,False,False,True
2012706,P421813,PAT McGRATH LABS,MatteTrance™ Lipstick,39.0,,4.0153,918,https://www.sephora.com/productimages/sku/s2012706-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/mattetrance-lipstick-P421813?skuId=2012706,False,False,False
2891901,P517845,NARS,"The Multiple Soft Blur Blush Stick for Cheeks, Eyes and Lips",40.0,,4.6361,305,https://www.sephora.com/productimages/sku/s2891901-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/nars-the-mulitple-P517845?skuId=2891901,True,False,True
2699320,P458748,PATRICK TA,Major Headlines Matte Suede Lipstick,32.0,,4.4728,423,https://www.sephora.com/productimages/sku/s2699320-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/patrick-ta-major-headlines-matte-suede-lipstick-P458748?skuId=2699320,False,False,False
